																				
			Lowrance	000-16208-001	000-16208-001															
			Lowrance	XSONIC Airmar B175L (20°)	XSONIC Airmar B175L (20°)	XSONIC Airmar B175L (20°)	XSONIC Airmar B175L (20°)	XSONIC Airmar B175L (20°)	XSONIC Airmar B175L (20°)											
			Lowrance	Trade	Nett	MU	GP	List	Sell											
			As at 10.02.2025	1672	1630.2	0.282051282051282	459.79999999999995	2090	2299											
				0.2	0.025															
		Part Number	Title	Trade	Nett	MU	GP	List	Sell			Category	Technology	Description	RRP (0.0%)	Barcode				
		000-16007-001	HDS-16 PRO No Transducer (AUS/NZ)	4835.64	4714.749000000001	0.2820512820512819	1329.8009999999995	6044.55	6649			HDS Pro	HDS-16 PRO	Lowrance HDS-16 PRO, No Transducer. 16" SolarMAX HD IPS display, Dual 1kW sonar with CHIRP, ActiveImaging™ HD ready. Networkable to Lowrance performance sonars (ActiveTarget™ and ActiveTarget™2), Radars, Trolling Motors, and Autopilots along with waypoint, chart, and sonar sharing. With C-MAP Discover charts of Austrialia and New Zealand.	6044.55	9420064129874				
		000-15992-001	HDS-16 PRO AUS/NZ + ActiveImaging™ HD 3-in-1 Transducer	4908.36	4785.651	0.28205128205128205	1349.799	6135.45	6749			HDS Pro	HDS-16 PRO	Lowrance HDS-16 PRO with ActiveImaging™ HD 3-in-1 transducer. 16" SolarMAX HD IPS display, Dual 1kW sonar with CHIRP. Networkable to Lowrance performance sonars (ActiveTarget™ and ActiveTarget™2), Radars, Trolling Motors, and Autopilots along with waypoint, chart, and sonar sharing. With C-MAP Discover charts of Austrialia and New Zealand.	6135.45	9420064129720				
		000-16004-001	HDS-12 PRO No Transducer (AUS/NZ)	3708.3599999999997	3615.651	0.28205128205128205	1019.799	4635.45	5099			HDS Pro	HDS-12 PRO	Lowrance HDS-12 PRO, No Transducer. 12" SolarMAX HD IPS display, Dual 1kW sonar with CHIRP, ActiveImaging™ HD ready. Networkable to Lowrance performance sonars (ActiveTarget™ and ActiveTarget™2), Radars, Trolling Motors, and Autopilots along with waypoint, chart, and sonar sharing. With C-MAP Discover charts of Austrialia and New Zealand.	4635.45	9420064129843				
		000-15989-001	HDS-12 PRO AUS/NZ + ActiveImaging™ HD 3-in-1 Transducer	3781.0879999999997	3686.5607999999997	0.28205128205128205	1039.7992	4726.36	5199			HDS Pro	HDS-12 PRO	Lowrance HDS-12 PRO with ActiveImaging™ HD 3-in-1 transducer. 12" SolarMAX HD IPS display, Dual 1kW sonar with CHIRP. Networkable to Lowrance performance sonars (ActiveTarget™ and ActiveTarget™2), Radars, Trolling Motors, and Autopilots along with waypoint, chart, and sonar sharing. With C-MAP Discover charts of Austrialia and New Zealand.	4726.36	9420064129690				
		000-16001-001	HDS-10 PRO No Transducer (AUS/NZ)	3242.912	3161.8392	0.28205128205128205	891.8008	4053.64	4459			HDS Pro	HDS-10 PRO	Lowrance HDS-10 PRO, No Transducer. 10" SolarMAX HD IPS display, Dual 1kW sonar with CHIRP, ActiveImaging™ HD ready. Networkable to Lowrance performance sonars (ActiveTarget™ and ActiveTarget™2), Radars, Trolling Motors, and Autopilots along with waypoint, chart, and sonar sharing. With C-MAP Discover charts of Austrialia and New Zealand.	4053.64	9420064129812				
