As at 27.02.2026		Franchise	Part	Description	Stock OH	Bin	Daily	MU	GP	List	Retail+ GST	
		9HI	DR002LP	D RING S/S (TOWING RING) - PVC	6	HIGH	4.76	2.0567226890756305	9.790000000000001	14.55	16.01	
		9HI	EPC-001	ELECTRICAL PACK - NANO CONSO	0	BUY IN	373.08	0.5814302562453094	216.92000000000002	590	649	
		9HI	EPC-002	ELECTRICAL PACK - GT CONSOLE	0	BUY IN	373.08	0.5814302562453094	216.92000000000002	590	649	
		9HI	EPC-003	ELECTRICAL PACK - RS7 SEAT	0	BUY IN	526.73	0.3237711920718394	170.53999999999996	697.27	767	
		9HI	EPC-004	ELECTRICAL PACK - FCT8 CONSO	0	BUY IN	473.08	0.5353851357064345	253.28000000000003	726.36	799	
		9HI	EPC-005	ELECTRICAL PACK - SD/ MINI S	0	BUY IN	373.08	0.5814302562453094	216.92000000000002	590	649	
		9HI	EPC-006	ELECTRICAL PACK - SU500	0	BUY IN	425	0.559364705882353	237.73000000000002	662.73	729	
		9HI	EPC-007	ELECTRICAL PACK - JOCKEY CON	0	BUY IN	390.38	0.5812029304779958	226.89	617.27	679	
		9HI	EPC-008	ELECTRICAL PACK - SUS700/SUS	0	BUY IN	617.31	0.5153650515948229	318.1400000000001	935.45	1029	
		9HI	EPC-009	ELECTRICAL PACK - SUS950	0	BUY IN	617.31	0.5153650515948229	318.1400000000001	935.45	1029	
		9HI	EPC-010	ELECTRICAL PACK - SDS750/SU7	0	BUY IN	550	0.5190000000000001	285.45000000000005	835.45	919	
		9HI	EPC-013	ELECTRICAL PACK - SUS1100/SU	0	BUY IN	996.15	0.4683832756111028	466.58000000000004	1462.73	1609	
		9HI	EVA340	EVA KIT FOR CL340	1	BUY IN	377.82	0.5639987295537557	213.08999999999997	590.91	650	
		9HI	F120P	FABRIC MEHLER PVC 150CM  1.2MM	20	HIGHF	20	0.75	15	35	38.5	
		9HI	FCT8ST	HF CONSOLE FCT EP CD WHITE	2	HIGH	2117.46	-0.004732084667478952	-10.019999999999982	2107.44	2318.18	
		9HI	FCT8ST-B	HF CONSOLE FCT EP CD BLACK	0	BUY IN	2117.46	-0.004732084667478952	-10.019999999999982	2107.44	2318.18	
		9HI	FCT8ST-G	HF CONSOLE FCT EP CD GREY	0	BUY IN	2117.46	-0.004732084667478952	-10.019999999999982	2107.44	2318.18	
		9HI	FL001	EVA ANTI SKID FLOOR MAT - .9X1	0	BUY IN	118.46	1.0720074286679049	126.99	245.45	270	
		9HI	FP002	FOOT PUMP - HIGHFIELD	9	HIGH	35.04	0.8162100456621005	28.6	63.64	70	
		9HI	FTSS	FOLDING TRANSOM SEAL	0	BUY IN	3.08	1.064935064935065	3.2800000000000002	6.36	7	
		9HI	GT CONSOLE	GT CONSOLE	0	HIGH	2441.61	0.8244314202513915	2012.94	4454.55	4900.01	
		9HI	GT CONSOLE EP	HF GT CONSOLE EP	0	HIGH	2441.61	0.8244314202513915	2012.94	4454.55	4900.01	
		9HI	GT CONSOLE WH	HF GT CONSOLE WHITE	0	BUY IN	3981.82	0.2557071891747994	1018.1799999999998	5000	5500	
		9HI	GUS15A	STEERING WHEEL - GUSSI 15A	0	BUY IN	150.77	0.4640180407242819	69.95999999999998	220.73	242.8	
		9HI	GUS931	STEERING WHEEL - GUSSI 931	0	BUY IN	398.46	0.4209205440947648	167.71999999999997	566.18	622.8	
		9HI	H002FH	FABRIC HANDLE (SINGLE) - HYP	6	HIGH	17.62	1.2701475595913734	22.38	40	44	
		9HI	H002FP	FABRIC HANDLE (SINGLE) - PVC	2	HIGH	4.07	1.457002457002457	5.93	10	11	
		9HI	H003FH	FABRIC HANDLE (DB+RING) - HYP	0	BUY IN	43.08	1.110259981429898	47.83	90.91	100	
		9HI	H003FP	FABRIC HANDLE (DB+RING) - PVC	3	BUY IN	4.54	3.0044052863436126	13.64	18.18	20	
		9HI	H003MPL	MOLDED HANDLE (LARGE) - PVC	18	HIGH	5.43	1.3443830570902395	7.300000000000001	12.73	14	
		9HI	H004FH	FABRIC HANDLE (DOUBLE) - HYP	0	BUY IN	43.08	1.0046425255338904	43.28	86.36	95	
		9HI	H004FP	FABRIC HANDLE (DOUBLE) - PVC	2	HIGH	7.93	0.9482976040353089	7.52	15.45	17	
		9HI	H004MHS	MOLDED HANDLE (SMALL) - HYP	4	HIGH	43.85	1.2805017103762828	56.15	100	110	
		9HI	H004MPS	MOLDED HANDLE (SMALL) - PVC	58	HIGH	4.07	1.457002457002457	5.93	10	11	
		9HI	H005FH	HANDLE TRP+RING - HYP 120CM	0	BUY IN	60	1.1211666666666666	67.27	127.27	140	
		9HI	H005FP	HANDLE TRP+RING - PVC 120CM	0	BUY IN	13.85	1.6252707581227437	22.509999999999998	36.36	40	
		9HI	H006FH	HADLE TRP+RING - HYP 140CM	0	BUY IN	60	1.1211666666666666	67.27	127.27	140	
		9HI	H006FP	HANDLE TRP+RING - PVC 140CM	0	BUY IN	13.85	1.6252707581227437	22.509999999999998	36.36	40	
		9HI	H007FH	HANDLE TRP+RING - HYP 145CM	0	BUY IN	60	1.1211666666666666	67.27	127.27	140	
		9HI	H007FP	HANDLE TRP+RING - PVC 145CM	0	BUY IN	13.85	1.6252707581227437	22.509999999999998	36.36	40	
		9HI	HDPE001	TRANSOM PLATE - HDPE FOR DL/OM	0	BUY IN	30.77	1.0090997725056874	31.05	61.82	68	
		9HI	HEC 001	CONSOLE - FCT8 W CARBON DASH,	0	BUY IN	2050.77	0.6224491288637927	1276.5	3327.27	3660	
		9HI	HEC 001-G	CONSOLE - FCT8 (GREY) W EP	3	BUY IN	1881.88	0.7680564116734329	1445.3899999999999	3327.27	3660	
		9HI	HEC 001-W	CONSOLE - FCT8 (WHITE)  W EP	7	BUY IN	2095.87	0.5875364407143574	1231.4	3327.27	3660	
		9HI	HEC 002	CONSOLE - CL JOCKEY W CARBON D	0	BUY IN	2250.77	0.5227100059090889	1176.5	3427.27	3770	
		9HI	HEC 004	CONSOLE - GT W CARBON DASH, ME	0	BUY IN	2403.08	0.5888692844183298	1415.1	3818.18	4200	
		9HI	HEC 004-G	CONSOLE - GT (GREY) W EP	2	BUY IN	2205.18	0.7314595633916506	1613	3818.18	4200	
		9HI	HEC 004-W	CONSOLE - GT (WHITE) W EP	2	BUY IN	2205.18	0.7314595633916506	1613	3818.18	4200	
		9HI	HEC 006	CONSOLE - NANO W CARBON DASH +	0	BUY IN	2043.08	0.5796101963701862	1184.19	3227.27	3550	
		9HI	HEC 007	CONSOLE - MINI SD W SIDE SEAT	0	BUY IN	2072.31	0.5748802061467637	1191.33	3263.64	3590	
		9HI	HEC 008	CONSOLE - SDS500 W CARBON DASH	0	BUY IN	1621.54	0.569773178583322	923.9099999999999	2545.45	2800	
		9HI	HEC 009	CONSOLE - SDS750 W CARBON DASH	0	BUY IN	2520	0.5440119047619048	1370.9099999999999	3890.91	4280	
		9HI	HEC 010	CONSOLE - SUS750 W CARBON DASH	0	BUY IN	3146.15	0.517006500007946	1626.5799999999995	4772.73	5250	
		9HI	HEC 011	CONSOLE - SUS950 W CARBON DASH	0	BUY IN	3550.77	0.5028740245073603	1785.5899999999997	5336.36	5870	
		9HI	HEC 012	CONSOLE - SUS1100 W CARBON DAS	0	BUY IN	9140	0.47801859956236326	4369.09	13509.09	14860	
		9HI	HEC 013	CONSOLE - JOCKEY W EP	0	BUY IN	1747.69	0.8101837282355565	1415.9499999999998	3163.64	3480	
		9HI	HEC 014	CONSOLE - SU500 W EP	0	BUY IN	1747.69	0.5604998598149556	979.5799999999999	2727.27	3000	
		9HI	HEC 019	CONSOLE - SUS970 (SNG ENGINES)	0	BUY IN	3667.69	0.4995814804413677	1832.31	5500	6050	
		9HI	HEC 020	CONSOLE - FCT8XL W CARBON DASH	0	BUY IN	2250.77	0.6034912496612271	1358.3200000000002	3609.09	3970	
		9HI	HEC 021	CONSOLE - SUS770 W EP	0	BUY IN	3464.62	0.47989389889800343	1662.6500000000005	5127.27	5640	
		9HI	HEC 023	CONSOLE - SUS970 (TWIN ENGINES	0	BUY IN	3860	0.5073005181347151	1958.1800000000003	5818.18	6400	
		9HI	HEC 024	CONSOLE - SUS1100 W CARBON DAS	0	BUY IN	8773.85	0.4816756611977637	4226.15	13000	14300	
		9HI	HEC 025	CONSOLE - SU770 W EP	0	BUY IN	3272.31	0.4863017256922481	1591.3300000000004	4863.64	5350	
		9HI	HEC 026	CONSOLE - SU970 (SNG ENGINES)	0	BUY IN	3475.38	0.5067014254556335	1760.9799999999996	5236.36	5760	
		9HI	HEC 027	CONSOLE - SU970 (TWIN ENGINES)	0	BUY IN	3667.69	0.5119734764933785	1877.7599999999998	5545.45	6100	
		9HI	HEC102	CONSOLE W CARBON DASH - SDS 50	0	BUY IN	1247.69	0.45395891607691	566.3999999999999	1814.09	1995.5	
		9HI	HEC103	CONSOLE W CARBON DASH - MINI S	0	BUY IN	1698.46	0.442748136547225	751.9899999999998	2450.45	2695.5	
		9HI	HEC104	CONSOLE W CARBON DASH - SUS 70	0	BUY IN	1583.08	0.44453849458018563	703.7400000000002	2286.82	2515.5	
		9HI	HEC105	CONSOLE W CARBON DASH - SUS 90	0	BUY IN	1821.54	0.44008915533010523	801.6399999999999	2623.18	2885.5	
		9HI	HEC106	CONSOLE W CARBON DASH - FCT8	0	BUY IN	1207.69	0.45695501328983423	551.8599999999999	1759.55	1935.51	
		9HI	HEC108	JOCKEY CONSOLE W CARBON DASH	0	BUY IN	1666.15	0.44344746871530166	738.8499999999999	2405	2645.5	
		9HI	HEC109	CONSOLE W CARBON DASH - SPC 80	0	BUY IN	3550.77	0.4386119067131919	1557.4100000000003	5108.18	5619	
		9HI	HEC110	CONSOLE W CARBON DASH - SDS 75	0	BUY IN	1583.08	0.5306743815852641	840.0999999999999	2423.18	2665.5	
		9HI	HEC111	CONSOLE W CARBON DASH - SU 750	0	BUY IN	1676.92	0.44501824773990395	746.2599999999998	2423.18	2665.5	
		9HI	HEC112	CONSOLE W CARBON DASH - SUS 75	0	BUY IN	1909.23	0.4358458645632009	832.1300000000001	2741.36	3015.5	
		9HI	HEC113	CONSOLE W CARBON DASH - SUS 80	0	BUY IN	1823.08	0.43887267700814003	800.0999999999999	2623.18	2885.5	
		9HI	HEC114	CONSOLE W CARBON DASH - SU 950	0	BUY IN	1909.23	0.4358458645632009	832.1300000000001	2741.36	3015.5	
		9HI	HEC115	CONSOLE W CARBON DASH - SUS 95	0	BUY IN	2067.69	0.4357277928509592	900.9499999999998	2968.64	3265.5	
		9HI	HEC116	CONSOLE W CARBON DASH - SU 500	1	BUY IN	1323.08	0.4535628986909334	600.1000000000001	1923.18	2115.5	
		9HI	HEC117	CONSOLE W CARBON DASH - NANO	0	BUY IN	1669.23	0.44078407409404335	735.77	2405	2645.5	
		9HI	HEC118	CL JOCKEY CONSOLE	0	BUY IN	1052.31	0.46473947791050163	489.04999999999995	1541.36	1695.5	
		9HI	HEC119	GT CONSOLE W CARBON DASH	0	BUY IN	1660	0.44331927710843366	735.9099999999999	2395.91	2635.5	
		9HI	HEC120	CONSOLE W CARBON DASH - SUS 11	0	BUY IN	4575.38	0.41577967294519785	1902.3499999999995	6477.73	7125.5	
		9HI	HEC121	CONSOLE W CARBON DASH - SUS 97	0	BUY IN	2761.54	0.4514292749697632	1246.6399999999999	4008.18	4409	
		9HI	HEE409	T TOP - PA540 TO PA860	0	BUY IN	1878.46	0.41992376734133274	788.81	2667.27	2934	
		9HI	HEE411	T TOP (X/L) - PA760 TO PA860	0	BUY IN	4275.38	0.4106137933938035	1755.5299999999997	6030.91	6634	
