		RIGGING KIT DESCRIPTION	Part Number	Build	Dealer	Factory	Kit CTD	MU	GP ($)	Kit Sell Price	Trade Price	Sub Dealer Price		NSM Lab	NSM Lab ($)	Additional Parts	Sundry	Total Install CTD	Install MU	Instal GP	Install Retail Sell	Install Trade Sell	Install Sub Dealer Sell		Total CTD	MU	GP	Sell Price	Trade Price	Sub Dealer Price		Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	Parts & Accessories	CTD	 	Fuel Filter	 	 	 	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	Control Cable Length	 	Dealer 1/7/22	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F75~90B	9YA_TCK_F75-90B	Service	695.57	27.8228	723.3928000000001	0.2567043922622798	185.69810909090893	1000	950	950		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		853.4837090909091	0.23557771907410743	201.06174545454542	1160	1102	1102		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	604.02	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F80~100D	9YA_TCK_F80-100D	Service	772.47	30.8988	803.3688000000001	0.25607430745494336	205.72210909090893	1110	1054.5	1054.5		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		933.4597090909092	0.23684551491768122	221.0857454545453	1270	1206.5	1206.5		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	670.8	 	 	 	 	 	 	 	 
		Tiller Conversion Kit - F115B~F130	9YA_TCK_F115B-F130	Service	695.57	27.8228	723.3928000000001	0.2567043922622798	185.69810909090893	1000	950	950		1	130.09090909090907	0	0	130.09090909090907	0.11809923130677857	15.363636363636374	160	152	152		853.4837090909091	0.23557771907410743	201.06174545454542	1160	1102	1102		.	0	.	0	.	0	.	0		Fuel Filter Optional	 	 	 	Control Cables - Not Required	.	.	.	.	.	.	.	.	.	 	604.02	 	 	 	 	 	 	 	 
		 	 		 	 	 			 				 	 		 	 							 			 						 		 				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		MECHANICAL RIGGING KITS to 70HP - Yamaha	 	 	Dealer	Freight	CTD	MU	GP ($)	Sell Price	Trade Price	Sub Dealer		 	 		 	 							 			 						 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 Base Cost 	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount (No Gauges) w 11' Cables & Fuel Filter (up to 70HP)	703-0000S-11-05	Service	560	22.400000000000002	582.4	0.26436063936063925	153.96363636363628	810	769.5	769.5		3.3	429.2999999999999	0	0	429.2999999999999	0.12233445566778912	52.51818181818186	530	503.5	503.5		1011.6999999999998	0.20409391932570745	206.4818181818182	1340	1273	1273		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 11 Ft	.	.	.	.	.	.	.	.	.	 	 	 	 	 	 	 	 	 	 
		 	 		 					 				 	 		 	 							 			 						 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, Cables & Filter (up to 70HP)	703-6Y51S-##-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 8 Ft	Control Cables (Supplied in Kit) - 11 Ft	Control Cables (Supplied in Kit) - 12 Ft	Control Cables (Supplied in Kit) - 13 Ft	Control Cables (Supplied in Kit) - 14 Ft	Control Cables (Supplied in Kit) - 15 Ft	Control Cables (Supplied in Kit) - 16 Ft	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 8' Cables & Filter (up to 70HP)	703-6Y51S-08-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 8 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 9' Cables & Filter (up to 70HP)	703-6Y51S-09-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 9 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 10' Cables & Filter (up to 70HP)	703-6Y51S-10-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 10 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 11' Cables & Filter (up to 70HP)	703-6Y51S-11-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 11 Ft	.	.	.	.	.	.	.	.	.	 	 	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 12' Cables & Filter (up to 70HP)	703-6Y51S-12-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 12 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 13' Cables & Filter (up to 70HP)	703-6Y51S-13-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 13 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
		Mech Rigging Kit - 703 Side Mount w 6Y5 1 Gauge, 14' Cables & Filter (up to 70HP)	703-6Y51S-14-05	Service	878.37	35.1348	913.5048	0.25391190659813195	231.94974545454522	1260	1197	1197		4.65	604.9227272727272	0	0	604.9227272727272	0.11208794511695701	67.8045454545454	740	703	703		1518.4275272727273	0.19741099626103617	299.75429090909074	2000	1900	1900		.	0	.	0	.	0	.	0	 	Fuel Filter Supplied in Rigging Kit	 	 	 	Control Cables (Supplied in Kit) - 14 Ft	.	.	.	.	.	.	.	.	.	 	878.37	 	 	 	 	 	 	 	 
