Description	Code	CTD	Inflation	Adj CTD	Tot Parts CTD	Parts Sell	Total Lab	Labour CTD	Labour Ret	Sundry 1	Sublet	Act CTD	MU	GP	Act Sell	Rebate	Image Link
Minn Kota - RT Terrova 60" with Quick Realease Bracket & 36v 100AMP Lithium Battery Setup	MIN-604115-KIT01	8882.912849999999	0	0	8882.912849999999	10571	7.799999999999999	1014.709090909091	1240.2	107	0	10004.62194090909	0.08667956130986901	867.1962409090902	11959		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/09/Minn-Kota-Riptide-Terrova.png
Minn Kota - RT Terrova 72" with Quick Realease Bracket & 36v 100AMP Lithium Battery Setup	MIN-604116-KIT01	9417.02225	0	0	9417.02225	11201	7.799999999999999	1014.709090909091	1240.2	107	0	10538.73134090909	0.08595096357757856	905.8141136363629	12589		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/07/Minn-Kota-Riptide-Terrova-2.png
Minn Kota - RT Powerdrive 54" with Quick Realease Bracket & 24v 100AMP Lithium Battery Setup	MIN-604106-KIT01	6475.686400000001	0	0	6475.686400000001	7741	7.799999999999999	1014.709090909091	1240.2	107	0	7597.395490909091	0.0923599961357091	701.6954181818173	9129		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2024/01/604104_profile.jpg
MOMENTUM - Electric Motor Packs																	
Momentum - M6 (6KW) Electric Motor c/w MB-6 Battery & MC-18 Battery Charger	MOM-MC06KIT01	10931.6235	0	0	10931.6235	14498	0.35	45.53181818181817	55.65	3.5	0	10980.65531818182	0.2053428654243631	2254.799227272726	14559		https://momentumelectricmarine.com/cdn/shop/t/49/assets/m10.webp?v=156346237380629658071762346588
Momentum - M10 (10KW) Electric Motor c/w MB-6 Battery & MC-18 Battery Charger	MOM-MC10KIT01	12558.0735	0	0	12558.0735	15949	0.35	45.53181818181817	55.65	3.5	0	12607.10531818182	0.1544716322433717	1947.440136363637	16010		https://momentumelectricmarine.com/cdn/shop/t/49/assets/m10.webp?v=156346237380629658071762346588
FUSION STEREO OPTIONS																	
Fusion Apollo RA670 Stereo with XS 6.5" Speakers + 1.8mtr Aerial	FUS-RA670KIT01	905.853744193471	0	0	905.853744193471	1178	5	650.4545454545453	795	26	0	1582.308289648016	0.1542400733866533	244.0553467156199	2009		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Apollo-RA670-1.jpeg
Fusion Apollo RA670 Stereo w 2 Pairs of XS 6.5" Speakers + 1.8mtr Aerial	FUS-RA670KIT02	1065.453744193471	0	0	1065.453744193471	1387	6.5	845.5909090909089	1033.5	36	0	1947.04465328438	0.1532629935665789	298.4098921701657	2470		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Apollo-RA670-1.jpeg
Fusion Apollo RA770 Stereo w XS 6.5" (RGB) & 4" Sports Speakers + 1.8mtr Aerial & Base	FUS-RA770KIT00	1390.762835102562	0	0	1390.762835102562	1813	6.5	845.5909090909089	1033.5	36	0	2272.353744193471	0.1585904172951335	360.3735285338016	2896		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2019/11/Apollo-RA770-1.jpeg
Fusion Apollo RA770 Stereo w Speakers + 1.8mtr Aerial & Base	FUS-RA770KIT01	1675.851198738926	0	0	1675.851198738926	2103	6.5	845.5909090909089	1033.5	36	0	2557.442107829835	0.1325236366039971	338.9215285338014	3186		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2019/11/Apollo-RA770-1.jpeg
Fusion MS-RA60 Marine Stereo & El Classic Speaker Kit + 1.8mtr Aerial	FUS-02405-50K1	547.7104714661984	0	0	547.7104714661984	709	4.5	585.4090909090908	715.5	26	0	1159.119562375289	0.1458540268788867	169.0622558065288	1461		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2022/03/rdw1182.jpg
Fusion MS-RA60 Marine Stereo & El Sports Speaker Kit + 1.8mtr Aerial	FUS-02405-60K1	547.7104714661984	0	0	547.7104714661984	709	4.5	585.4090909090908	715.5	26	0	1159.119562375289	0.1458540268788867	169.0622558065288	1461		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2022/03/Fusion-MS-RA60-Marine-Stereo-El-Sports-Speaker-Kit.jpg
Fusion MS-RA210 Marine Entertainment System & XS Classic Speaker Kit + 1.8mtr Aerial	FUS-RA210-KIT01	769.162835102562	0	0	769.162835102562	999	4.5	585.4090909090908	715.5	26	0	1380.571926011653	0.1530135821440324	211.246255806529	1751		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2022/03/rdw212.jpg
